11:17:59,3/10/2018,0.03,6.06
11:18:9,3/10/2018,0.02,5.97
11:18:20,3/10/2018,0.02,5.78
11:18:30,3/10/2018,0.02,5.94
11:18:40,3/10/2018,0.02,5.72
11:18:50,3/10/2018,0.02,5.85
11:19:1,3/10/2018,0.02,5.86
11:19:11,3/10/2018,0.02,5.78
11:19:21,3/10/2018,0.03,6.11
11:19:31,3/10/2018,0.02,5.76
11:19:42,3/10/2018,0.03,6.13
11:19:52,3/10/2018,0.03,6.02
11:20:2,3/10/2018,0.02,5.89
11:20:13,3/10/2018,0.03,6.16
11:20:23,3/10/2018,0.02,5.73
11:20:33,3/10/2018,0.03,6.13
11:20:43,3/10/2018,0.02,5.69
11:20:54,3/10/2018,0.02,5.96
11:21:4,3/10/2018,0.02,5.47
11:21:14,3/10/2018,0.03,6.20
11:21:24,3/10/2018,0.02,5.43
11:21:35,3/10/2018,0.03,6.13
11:21:45,3/10/2018,0.02,5.69
11:21:55,3/10/2018,0.03,6.48
11:22:5,3/10/2018,0.03,6.05
11:22:16,3/10/2018,0.03,6.00
11:22:26,3/10/2018,0.02,5.97
11:22:36,3/10/2018,0.02,5.74
11:22:46,3/10/2018,0.02,5.93
11:22:57,3/10/2018,0.02,5.83
11:23:7,3/10/2018,0.03,6.20
11:23:17,3/10/2018,0.02,5.93
11:23:28,3/10/2018,0.03,6.13
11:23:38,3/10/2018,0.02,5.71
11:23:48,3/10/2018,0.03,6.29
11:23:58,3/10/2018,0.02,5.58
11:24:9,3/10/2018,0.03,6.17
11:24:19,3/10/2018,0.02,5.87
11:24:29,3/10/2018,0.02,5.77
11:24:39,3/10/2018,0.03,6.19
11:24:50,3/10/2018,0.02,5.35
11:25:0,3/10/2018,0.03,6.25
11:25:10,3/10/2018,0.02,5.67
11:25:20,3/10/2018,0.03,6.28
11:25:31,3/10/2018,0.02,5.80
11:25:41,3/10/2018,0.03,6.04
11:25:51,3/10/2018,0.02,5.81
11:26:1,3/10/2018,0.03,6.25
11:26:12,3/10/2018,0.02,5.54
11:26:22,3/10/2018,0.03,6.06
11:26:32,3/10/2018,0.02,5.75
11:26:43,3/10/2018,0.03,6.26
11:26:53,3/10/2018,0.02,5.48
11:27:3,3/10/2018,0.03,6.16
11:27:13,3/10/2018,0.02,5.58
11:27:24,3/10/2018,0.03,6.29
11:27:34,3/10/2018,0.02,5.37
11:27:44,3/10/2018,0.03,6.09
11:27:54,3/10/2018,0.02,5.65
11:28:5,3/10/2018,0.03,6.35
11:28:15,3/10/2018,0.02,5.83
11:28:25,3/10/2018,0.03,6.15
11:28:35,3/10/2018,0.02,5.74
11:28:46,3/10/2018,0.03,6.15
11:28:56,3/10/2018,0.02,5.71
11:29:6,3/10/2018,0.03,6.24
